"12th Man Bar and Grill",48.792484,-122.485682
"1808 Memorial Obelisk",48.750825,-122.442918
"18th green waterfall",48.961116,-122.45272
"1914 GMC Display",48.848402,-122.313921
"19th Century Sailing Ship Anchor",48.994855,-122.758935
"\"Endangered Species\" Sculpture",48.768769,-122.421241
"A Child has Died Memorial",48.749758,-122.439375
"A Child Has Died Memorial",48.749832,-122.438887
"A Horse Named Lightning",48.938824,-122.48704
"Abbey Esary Memorial Bench",48.773509,-122.468615
"Abundant Life Community Church",48.773387,-122.485881
"Addie Memorial",48.751653,-122.443215
"Aerie 31 Bellingham Memorial",48.848756,-122.540835
"Aeroroter ",48.866046,-122.310238
"Air Force Flagpole at City Hall",48.755871,-122.477412
"Al Anderson Memorial",48.83156,-122.593969
"Alamo Wall Mural",48.745416,-122.477713
"Aldergrove Lake Reginal Park",49.002394,-122.471321
"Alex Johnston Memorial",48.704812,-122.462404
"Alger Bar and Grill",48.619856,-122.340661
"Alger Fire Department",48.617919,-122.340459
"Alger Park & Ride",48.620282,-122.352763
"Allan Love",48.766684,-122.462985
"Alley District",48.745628,-122.482198
"Alpha Wind Generator",48.785087,-122.525679
"Alpha",48.734783,-122.48915
"Alphabet Cube",48.729948,-122.486015
"Amending Table for Talk",48.75454,-122.478876
"American Flag Mural",48.845911,-122.585942
"American Flag on Granite",48.850679,-122.590024
"American Legion Peace Arch Post #86",48.93763,-122.726442
"American Legion Plaque",48.995811,-122.757756
"American Reformed Church",48.962823,-122.407111
"Amtrak Bellingham Station ",48.720644,-122.510918
"Anchors Away",48.950116,-122.68947
"Andrew Philip Jones Memorial Bench",48.705539,-122.455281
"Anthony's Hearthfire Grill",48.75478,-122.496991
"Antique Farm Equipment",48.846254,-122.585576
"Antique Farm Exhibit",48.82875,-122.562969
"Antique Pioneer Wagon",48.841597,-122.593324
"Antique Tractor Sculpture",48.757462,-122.490666
"Antique Windmill",48.858271,-122.486741
"Appliance Robot",48.77105,-122.524295
"Arboretum Way Trail Marker",48.733545,-122.481646
"Arch in the Apple Trees",48.830974,-122.594277
"Arch Talbot Building",48.773069,-122.444677
"Arlis's Breakfast Restaurant",48.752741,-122.475575
"Armstrong Memorial Bench",48.850487,-122.536224
"Army Flagpole at City Hall",48.755817,-122.477144
"Arne Hanna Aquatic Center",48.746314,-122.460267
"Arroyo Park",48.702399,-122.481517
"Art Annex",48.735869,-122.485436
"Artist Point",48.847549,-121.692741
"Artist's Point",48.846298,-121.69196
"Assumption Church",48.757996,-122.474651
"Atomic Dog",48.706928,-122.409027
"Austin Pass Picnic Area",48.854551,-121.683585
"Axiom Dyno Trylobyte",48.750189,-122.476295
"Backyard Buffers",48.761759,-122.418837
"Bad Clancy's Spokane Vaudeville House Stone",48.71949,-122.503601
"Bagley Lake Trails",48.855322,-121.686374
"Bagley Lakes Basin",48.854454,-121.686174
"Bagley Lakes Park",48.854123,-121.68557
"Bakerview Road Grader Monument ",48.789526,-122.444425
"Balance Steps",48.755578,-122.499817
"Barkley Park",48.768025,-122.446808
"Barkley Pond West Fountain",48.769165,-122.44737
"Barkley Village",48.769887,-122.443451
"Barnside Sunflower Mural",48.832336,-122.331968
"Battersby Field",48.758433,-122.482262
"Bay Crest Mini Lighthouse",48.908811,-122.74836
"Bay Horizon Park",48.917569,-122.734251
"Bay St. Mural",48.751625,-122.482361
"Bay To Baker Greenway",48.769811,-122.500771
"Bay-Crest South Entrance",48.906905,-122.738172
"Bayview Abbey",48.746894,-122.4416
"Bayview Cemetary Arch",48.747757,-122.43815
"Bayview Cemetery Regulations",48.747521,-122.443372
"Bayview Cemetery",48.747409,-122.443997
"Bayview Cemetery",48.747547,-122.444193
"Be a Friend to the Fish Plaque",48.843762,-122.590543
"Beachwood Rv",48.906162,-122.753861
"Beachwood Whale Mural",48.905804,-122.754241
"Bear and Eagle Tree",48.906116,-122.583134
"Bear Statue",48.843212,-122.289355
"Bears Wife Totem",48.844298,-122.590159
"Beginning of Baker Trail",48.763007,-122.513126
"Bell Was Cast",48.897978,-122.609415
"Bellewood Farms  How An Apple Grows",48.86464,-122.484497
"Bellingham Alternative Library",48.750813,-122.475929
"Bellingham Athletic Club",48.753394,-122.474924
"Bellingham Baptist Church",48.763361,-122.457847
"Bellingham Bay Building",48.751533,-122.480876
"Bellingham Bay Community Boating Center",48.72158,-122.509788
"Bellingham Bay Mural",48.739363,-122.481228
"Bellingham Bay Trail",48.732834,-122.49918
"Bellingham Bible Chapel",48.791795,-122.509073
"Bellingham Breakfast",48.715177,-122.493456
"Bellingham Coast Guard Bell",48.755564,-122.493732
"Bellingham country club",48.781925,-122.487682
"Bellingham Covenant Church",48.789614,-122.460135
"Bellingham Cruise Terminal",48.721512,-122.51263
"Bellingham Elks Lodge 194",48.72678,-122.472137
"Bellingham Fire Department Station Cart",48.787928,-122.478282
"Bellingham Fire Department",48.759937,-122.4879
"Bellingham Fish Hatchery",48.7519,-122.428564
"Bellingham Free Library",48.760575,-122.495372
"Bellingham Golf and Country Club",48.780598,-122.486323
"Bellingham Horseshoe Club",48.771569,-122.48115
"Bellingham International Maritime Museum",48.745556,-122.485071
"Bellingham Lions Mural",48.736397,-122.49548
"Bellingham Majestic",48.745663,-122.479502
"Bellingham Masonic  Center",48.776414,-122.499669
"Bellingham Masonic Lodge ",48.746594,-122.480032
"Bellingham National Bank",48.749783,-122.478944
"Bellingham Parkade Mural",48.750882,-122.479435
"Bellingham Post Office",48.718241,-122.501831
"Bellingham Public Library",48.754109,-122.479041
"Bellingham Public Library",48.77191,-122.443643
"Bellingham Public Market",48.752149,-122.474784
"Bellingham Public School's Roeder Building 1908",48.759166,-122.487222
"Bellingham Railway Museum  Historic Plaque",48.748649,-122.478415
"Bellingham Railway Museum",48.750712,-122.479527
"Bellingham Senior and Activity Center",48.755897,-122.476512
"Bellingham Theatre Guild",48.752708,-122.480349
"Bellingham Unitarian Fellowship",48.759045,-122.485902
"Bellingham United Reformed Church",48.802623,-122.5324
"Bellingham Wa Mural",48.752408,-122.48113
"Bellingham Whatcom County Tourism",48.750588,-122.479764
"Bellingham Yacht Club",48.757687,-122.504715
"Bellis Fair Everlasting Flames",48.785199,-122.489261
"Bellis Fair Promenade",48.785149,-122.488896
"Bellwether Lighthouse",48.753859,-122.496722
"Bellwether Sign",48.757084,-122.493066
"Bellwood Acres",48.86443,-122.485116
"Bender Park",48.862627,-122.622199
"Bender Plaza Clock Tower",48.963302,-122.440286
"Berthusen Aermotor",48.961587,-122.508388
"Berthusen Log Cabin",48.961247,-122.508237
"Berthusen Park",48.964683,-122.507185
"Berthusen Steam Engine (Large)",48.961402,-122.507478
"Berthusen Steam Engine (Small)",48.961171,-122.507498
"Bertrand's Estates Park",48.952895,-122.509565
"Bessie the Cow",48.988963,-122.48565
"Beth Clark Memorial Fountain",48.773509,-122.467891
"Beth Israel Synagogue",48.76257,-122.483954
"Bethany Chapel ",48.843863,-122.286391
"Bethel Christian Reformed Church ",48.942147,-122.462176
"Bethel Lutheran Church",48.783118,-122.518824
"Bicycle Jump Park",48.747202,-122.455399
"Bienvenido a la Casa de Dios",48.94475,-122.454573
"Big Burster 1",48.718993,-122.503506
"Big Chair ",48.727945,-122.487057
"Big Cup",48.749295,-122.475129
"Big J",48.942881,-122.451574
"Big Rock Garden Park",48.768676,-122.42266
"Billy Clark Memorial",48.845039,-122.589351
"Biology Building",48.734033,-122.486923
"Birch Bay Community Church",48.907339,-122.725623
"Birch Bay Conservancy Area",48.899342,-122.774221
"Birch Bay History Plaque",48.904895,-122.768386
"Birch Bay Leisure Park",48.921449,-122.744485
"Birch Bay State Park South Entrance",48.90109,-122.773454
"Birch Bay State Park",48.908716,-122.754688
"Birch Bay Totem",48.926282,-122.744978
"Birchbay Bible Community Church",48.897551,-122.748939
"Birchbay State Park East Entrance",48.903344,-122.760783
"Birchbay Visitors Center",48.928702,-122.745213
"Birchbay Waterslides",48.937363,-122.74788
"Birchwood Car Wash Lynden Mural ",48.774573,-122.493298
"Birchwood Car Wash Mt. Baker Mural",48.774307,-122.493649
"Birchwood Car Wash Mural  ",48.774358,-122.49389
"Birchwood Park",48.771428,-122.500269
"Birchwood Presbyterian Church ",48.809349,-122.502077
"Black Forest",48.994825,-122.751412
"Black Mountain Ranch Country Club",48.91149,-122.137655
"Blaine Athletic Park and Interpretive Center Plaque",48.986082,-122.713871
"Blaine Centennial Project",48.994665,-122.75896
"Blaine City Hall",48.993013,-122.747484
"Blaine Harbor Bay Overlook ",48.996054,-122.759688
"Blaine Harbor Clock",48.993931,-122.76157
"Blaine Harbor Gate 1",48.995317,-122.756654
"Blaine Harbor Pier 1 Clock ",48.9953,-122.757349
"Blaine Harbor Public Amphitheater",48.996235,-122.758076
"Blaine High School Arch",48.993754,-122.736933
"Blaine Insurance Mural",48.992625,-122.751341
"Blaine Library",48.994726,-122.749342
"Blaine Marina Public Trail",48.994594,-122.760854
"Blaine Marina Public Viewing Deck",48.99415,-122.759223
"Blaine Marine Park",48.996089,-122.757252
"Blaine Marine Park: From Vision to Reality Plaque",48.996146,-122.756769
"Blaine Public Pier",48.991865,-122.766268
"Blaine Salmon",48.993912,-122.748564
"Blaine Skate Park",48.99471,-122.748488
"Blaine Totem",48.995032,-122.75961
"Blaine Turtle ",48.991562,-122.751321
"Blaine War Memorial",48.99425,-122.749539
"Blaine",48.994128,-122.735163
"Blaine's harbor portal",48.992149,-122.75171
"Blanchard Chapel ",48.593799,-122.416821
"Bloedel Donovan Community Building",48.760386,-122.418701
"Bloedel Donovan Park Lake Mural",48.760183,-122.417744
"Bloedel Donovan Park",48.75998,-122.420602
"Blue Bird",48.843215,-122.281609
"Blue Star Byway Plaque",48.943865,-122.451593
"BNSF Railway Station",48.754607,-122.487856
"Bob's Eagle",48.845276,-122.578257
"Bond Hall",48.736729,-122.485868
"Book Library",48.761346,-122.48635
"Boomers",48.739107,-122.469478
"Boulevard Park Sign",48.730464,-122.503344
"Boulevard Park Stone Plaque",48.731151,-122.502932
"Boulevard Park",48.726472,-122.505156
"Boundary Bay Brewery",48.747493,-122.480897
"Boundary Park Entrance",48.749244,-122.450036
"Boundary Park",48.748137,-122.448679
"Bow Bison Statue",48.568856,-122.42232
"Bow Hill Church",48.560963,-122.398622
"Bow's Old Store and Brothel",48.561543,-122.398515
"Boxing Pirate Mural",48.74944,-122.477259
"Boys & Girls Clubs Ferndale Branch",48.844144,-122.593052
"BP Heron Center",48.906365,-122.765027
"Brain Sucker",48.766732,-122.508626
"Brickyard Park Structure",48.984117,-122.738384
"Broadway Beach Access Marker",48.91402,-122.747929
"Broadway Park",48.76529,-122.480007
"Broken Auger Farm Marker",48.823779,-122.66084
"Bronze Reading Children",48.746713,-122.474194
"Brown Street Clock",48.99502,-122.751656
"BSA Heritage Site Cabin",48.958338,-122.508078
"BTC Library",48.76531,-122.510584
"BTC Metal Tree",48.765105,-122.509943
"BTC Planter Bed",48.767064,-122.509878
"BTC Welding Art",48.766384,-122.508182
"BTC Welding Fish",48.765505,-122.512301
"BTC Welding Grasshopper",48.764717,-122.509407
"BTC Welding Rodeo Rooster ",48.765319,-122.508674
"Building Strong Economy",48.75473,-122.502978
"Butt Eating Chair",48.766756,-122.508932
"Butterfly Mural",48.752029,-122.482859
"Bylsma Building",48.943146,-122.452262
"Cafe Akroteri Mural",48.749462,-122.47988
"Cal and Helen Swindell Memorial Bench ",48.808263,-122.502665
"Calvary Chapel Northwest",48.859478,-122.486239
"Calvary Creekside Church",48.963683,-122.362165
"Calvin F Keesling Memorial",48.749345,-122.442758
"Camel Safari",48.837257,-122.332586
"Camp Kirby Entrance Sign",48.576534,-122.553267
"Canada House",48.737964,-122.487951
"Capt Jack Memorial Plaque",48.995588,-122.75974
"Captain Howard Josh Memorial Bench",48.74903,-122.439129
"Carl Lobe Park",48.759006,-122.495395
"Carl Rathjen Memorial Barbecue",48.846955,-122.313937
"Carnation Milk Mural",48.845335,-122.586147
"Carnegie Library Mural",48.751659,-122.478063
"Carved Bear Climbing Tree",48.859468,-122.584257
"Casa Qué Pasa ",48.750782,-122.475984
"Cascade Pizza",48.763093,-122.486292
"Cecil Barr Memorial Bench",48.846329,-122.5896
"Cedar Creek Park",48.865978,-122.609887
"Cedar Grove Mobile Park",48.708065,-122.441865
"Centennial Mural",48.753105,-122.481206
"Centennial Park",48.943737,-122.45204
